gid,provincia,nombre,sector,ndomicilio,localidad,departamento,ubicacion,x,y
46901,Buenos Aires,ESCUELA PRIMARIA Nº13 MARTIN MIGUEL DE GÜEMES,Estatal,,AGUSTIN MOSCONI,25 DE MAYO,GPS,"-60,55055287","-35,7420935"
46902,Buenos Aires,ESCUELA PRIMARIA Nº21 JUSTO JOSE DE URQUIZA,Estatal,CUARTEL VI   EL DESCANSO.,EL DESCANSO,ROQUE PEREZ,GPS,"-59,32757599","-35,43329078"
46903,Buenos Aires,ESCUELA PRIMARIA Nº17 JOSE MANUEL ESTRADA,Estatal,ZONA RURAL S/N  PARAJE SAN ALFREDO,SAN ALFREDO,DAIREAUX,GPS,"-62,3090315","-36,50610296"
46904,Buenos Aires,ESCUELA PRIMARIA Nº16 FRAGATA SARMIENTO,Estatal,"CUARTEL IV, RUTA PCIAL. 43 S/N  EL TATU",EL TATU,ZARATE,GPS,"-59,16598244","-34,16972731"
46905,Buenos Aires,ESCUELA PRIMARIA Nº25 MARTIN MIGUEL DE GÜEMES,Estatal,EX.RUTA 12KM 102.5 S/N  ISLA TALAVERA,ISLA TALAVERA,CAMPANA,GPS,"-58,95661406","-33,98112812"
46906,Buenos Aires,ESCUELA PRIMARIA Nº31 GRAL. MARTIN MIGUEL DE GÜEMES,Estatal,CAMINO A CENTRAL NUCLEAR ATUCHA S/N  CUARTEL V,CUARTEL V,ZARATE,GPS,"-59,18302468","-33,99130472"
46907,Buenos Aires,ESCUELA PRIMARIA Nº4 GRANADEROS DE SAN MARTIN,Estatal,AV.11 DE MAYO ESQ. MENDOZA S/N,SANTA MARIA,CORONEL SUAREZ,GPS,"-61,85762805","-37,55224705"
46908,Buenos Aires,ESCUELA PRIMARIA Nº4 BERNARDINO RIVADAVIA,Estatal,PALO SANTO S/N,LIBANO,GENERAL LA MADRID,GPS,"-61,28498319","-37,53230723"
46909,Buenos Aires,ESCUELA PRIMARIA Nº17 BERNARDINO RIVADAVIA,Estatal,CUARTEL I S/N  LA CRIOLLA,LA CRIOLLA,CARMEN DE ARECO,GPS,"-59,90099698","-34,37773509"
46912,Buenos Aires,ESCUELA PRIMARIA Nº26 PATRICIAS ARGENTINA,Estatal,CAMINO VIEJO A TANDIL 26  MATADEROS,MATADEROS,AZUL,GPS,"-59,83303533","-36,83545473"
46913,Buenos Aires,ESCUELA PRIMARIA Nº12 ALMIRANTE GUILLERMO BROWN,Estatal,CUARTEL VI S/N  LOS MOLLES,LOS MOLLES,CASTELLI,GPS,"-57,61062534","-36,08960338"
46914,Buenos Aires,ESCUELA PRIMARIA Nº9 FRANCISCO NARCISO LAPRIDA,Estatal,ZONA RURAL S/N  LOS EUCALIPTUS,LOS EUCALIPTUS,MONTE,GPS,"-58,88032947","-35,40535468"
46915,Buenos Aires,ESCUELA PRIMARIA Nº11 JOSE MANUEL ESTRADA,Estatal,"RUTA 215 KM 97,500 S/N  MAHON",MAHON,MONTE,GPS,"-58,69172434","-35,37529732"
46916,Buenos Aires,ESCUELA PRIMARIA Nº9 RAFAEL OBLIGADO,Estatal,CUARTEL IV S/N  HINOJALES,HINOJALES,PILA,GPS,"-58,30354618","-36,41173795"
46918,Buenos Aires,ESCUELA PRIMARIA Nº3 GENERAL JOSE DE SAN MARTIN,Estatal,CUARTEL II S/N  CENTRO GUERRERO,CENTRO GUERRERO,CASTELLI,GPS,"-57,81643416","-36,05445928"
46919,Buenos Aires,ESCUELA PRIMARIA Nº56 ISLAS MALVINAS,Estatal,"RUTA 35 KM 15,5 S/N  LA HORMIGA",LA HORMIGA,BAHIA BLANCA,GPS,"-62,38095738","-38,59124185"
46920,Buenos Aires,ESCUELA PRIMARIA Nº51 RAFAEL OBLIGADO,Estatal,CAMINO LA CARRINDANGA KM 15 S/N,LA CARRINDANGA,BAHIA BLANCA,GPS,"-62,11152404","-38,61175564"
46921,Buenos Aires,ESCUELA PRIMARIA Nº5 PAULA ALBARRACIN DE SARMIENTO,Estatal,ZONA RURAL S/N  PARAJE MEDIA LUNA,MEDIA LUNA,FLORENTINO AMEGHINO,GPS,"-62,44574516","-34,79656991"
46923,Buenos Aires,ESCUELA PRIMARIA Nº26 CEFERINO NAMUNCURA,Estatal,ALGARROBOS,ALGARROBOS,CARLOS CASARES,GPS,"-61,43386136","-35,51461758"
46924,Buenos Aires,ESCUELA PRIMARIA Nº12 RICARDO GÜIRALDES,Estatal,CUARTEL VI S/N  PARAJE EL TROPEZON,EL TROPEZON,SAN ANTONIO DE ARECO,GPS,"-59,39016066","-34,06558251"
46925,Buenos Aires,ESCUELA PRIMARIA Nº29 JOSE HERNANDEZ,Estatal,ZONA RURAL   LA CATALINA,LA CATALINA,PUAN,GPS,"-63,3251269","-38,73314964"
46927,Buenos Aires,ESCUELA PRIMARIA Nº35 CEFERINO NAMUNCURA,Estatal,ZONA RURAL S/N  COLONIA SAN LUIS,ESTANCIA SAN LUIS,PATAGONES,GPS,"-62,73818067","-39,75842622"
46929,Buenos Aires,ESCUELA PRIMARIA Nº14 AERONAUTICA ARGENTINA,Estatal,SAN MARTÍN E/SIMÓN BALATTI Y S. PATRÓN   CUARTEL XIII,RAMON BIAUS,CHIVILCOY,GPS,"-59,92499297","-35,08751704"
